bnd_id,municipality,electricity demand (MWh/a_2017),VOLL (€/kWh),population,pop_employed,gross_wage(€/month),working_hours(h/a),net_wage(€/h),Total_Income(k€),Total_Tax_Collected(k€),SSC
01001,Flensburg,137067.442377618,10.854886430506324,88519,59876.0,2758.948275862069,1618,12.825444776572393,1445809.0,243191.0,0.205
01002,Kiel,383927.889667006,12.45208600963785,247943,171753.0,3148.8565107458912,1624,14.599001933125336,4214726.0,706202.0,0.205
01003,Lübeck,334958.08809681,10.990553183732846,216318,128247.00000000001,3022.3669250645994,1642,13.772636204710865,3782120.0,648496.0,0.205
01004,Neumünster,122846.45715641,10.952686750809272,79335,52372.0,2800.8776435045315,1647,13.190249890478139,1218502.0,181124.0,0.205
01051,Dithmarschen,206636.303877879,9.981738580511843,133447,60566.0,2971.936525612472,1647,13.726523670400047,2414814.0,388982.0,0.205
01053,Herzogtum Lauenburg,303611.22128299,9.586865744895917,196074,69804.0,3189.8274853801167,1638,14.093887453688756,4518585.0,867073.0,0.205
01054,Nordfriesland,256210.001815264,9.348073311049225,165462,90383.0,2759.310888252149,1690,12.257164988266723,3401805.0,576275.0,0.205
01055,Ostholstein,310594.740811262,9.673791006536588,200584,90683.0,2879.374269005848,1632,13.255019967422783,3910521.0,660614.0,0.205
01056,Pinneberg,484142.169123812,10.344324955181124,312662,129530.0,3301.296178343949,1655,14.661071012521464,7137398.0,1302657.0,0.205
01057,Plön,199505.681388369,10.110213424986004,128842,43888.0,3157.2622950819673,1596,14.833210127412324,2548888.0,433692.0,0.205
01058,Rendsburg-Eckernförde,422761.522981755,10.363903334341071,273022,118837.0,3139.285310734463,1633,14.371741084266244,5659851.0,973531.0,0.205
01059,Schleswig-Flensburg,308920.863957589,9.562551707317397,199503,83435.0,2906.9673157162724,1642,13.458850644588267,3648686.0,589193.0,0.205
01060,Segeberg,424314.620561989,10.554943365807008,274025,125135.0,3242.931640625,1667,14.581032088489414,5744422.0,978826.0,0.205
01061,Steinburg,203796.442499863,10.069965609969985,131613,56376.0,3058.8333333333335,1651,14.113405846054045,2437956.0,390543.0,0.205
01062,Stormarn,375456.30755189,11.00290994216309,242472,115558.0,3457.6525885558585,1665,14.985002487314357,5907316.0,1144106.0,0.205
02000,Hamburg,2834571.86521977,11.84282073738052,1830584,1254871.0,3430.2643442622953,1685,14.222042617995916,44323176.0,9433110.0,0.205
03101,Braunschweig,384051.765844891,13.795498398124042,248023,166570.0,3681.7606473594547,1633,16.42576477598774,5548262.0,1042404.0,0.205
03102,Salzgitter,161887.583069117,12.552888685039196,104548,57303.0,3542.794520547945,1672,16.343281491376654,1639193.0,249552.0,0.205
03103,Wolfsburg,191874.908830648,18.31220965923412,123914,130526.00000000001,4310.339357429719,1711,18.20614370702887,2949560.0,568534.0,0.205
03151,Gifhorn,271101.466849275,12.45613336147874,175079,58408.0,4025.282608695652,1610,18.453334655590773,3911477.0,703800.0,0.205
03153,Goslar,213009.733230066,10.504332058947424,137563,62199.0,3029.4921465968587,1621,14.341810478133644,2262113.0,351774.0,0.205
03154,Helmstedt,142024.037945244,11.513484285137991,91720,30114.0,3699.897590361446,1619,17.173987531574337,1848789.0,311985.0,0.205
03155,Northeim,206015.37453623,10.645688039008737,133046,61861.0,3049.575785582255,1627,14.435432861988648,2326094.0,356368.0,0.205
03157,Peine,206513.976152217,11.085643272862804,133368,45450.0,3454.011530398323,1606,16.31427543352154,2578192.0,419903.0,0.205
03158,Wolfenbüttel,186490.940449318,11.150558750514895,120437,37050.0,3568.0833333333335,1588,16.72996639611937,2499344.0,436180.0,0.205
03159,Göttingen,507948.073608877,11.656831051565334,328036,175799.0,3221.0074487895718,1613,15.008929726182178,6042277.0,1019082.0,0.205
03241,Region Hannover,1784862.16679606,11.959224730426039,1152675,680548.0,3368.2492649024325,1647,15.033876958466548,24028685.0,4382760.0,0.205
03251,Diepholz,334484.261716399,10.514390509391284,216012,101206.0,3055.0221843003415,1623,14.204601709877481,4397660.0,730640.0,0.205
03252,Hameln-Pyrmont,229629.270945573,10.97223778808601,148296,71169.0,3132.596474953618,1626,14.723186221129017,2657610.0,420303.0,0.205
03254,Hildesheim,428363.823126607,10.924196905473105,276640,127087.0,3166.0812701829923,1614,14.807830501823402,5163167.0,856779.0,0.205
03255,Holzminden,110163.084993202,10.58879064418101,71144,30732.0,3084.0069444444443,1627,14.689074951474604,1140406.0,170170.0,0.205
03256,Nienburg (Weser),188090.491596259,10.190954477409022,121470,56452.0,2964.5,1645,13.901137812770871,2113903.0,321712.0,0.205
03257,Schaumburg,244474.282412877,10.594829773141921,157883,64638.99999999999,3158.0191570881225,1615,14.875441435049868,2914960.0,469491.0,0.205
03351,Celle,276807.513293106,10.665452250865368,178764,81279.0,3138.996376811594,1635,14.60197445064349,3244745.0,523029.0,0.205
03352,Cuxhaven,306748.38548793,10.206635018925182,198100,72918.0,3132.2238912732473,1613,14.753836708775943,3733147.0,604217.0,0.205
03353,Harburg,389452.76720068,10.605722629334027,251511,95981.0,3444.8426042983565,1637,15.297808828779527,6274094.0,1187076.0,0.205
03354,Lüchow-Dannenberg,74878.5041748603,10.012410836999043,48357,21022.0,2868.235042735043,1617,13.818504133595436,751647.0,109594.0,0.205
03355,Lüneburg,283258.365256472,10.591278477439175,182930,83314.0,3162.6684867394697,1627,14.455568719278348,3741767.0,655898.0,0.205
03356,Osterholz,175137.68874615,10.489321896763597,113105,39473.0,3270.44750656168,1602,15.323244095849033,2377377.0,402974.0,0.205
