TIME,GEO,UNIT,Value,FlagandFootnotes
2017,DE402,MIO_EUR,3514.09,e
2017,DE403,MIO_EUR,2055.8,e
2017,DE404,MIO_EUR,7111.58,e
2017,DE405,MIO_EUR,3936.2,e
2017,DE406,MIO_EUR,5466.8,e
2017,DE407,MIO_EUR,2561.24,e
2017,DE408,MIO_EUR,3253.03,e
2017,DE409,MIO_EUR,4005.41,e
2017,DE40A,MIO_EUR,5491.42,e
2017,DE40B,MIO_EUR,3016.77,e
2017,DE40C,MIO_EUR,4642.7,e
2017,DE40D,MIO_EUR,2583.55,e
2017,DE40E,MIO_EUR,5255.88,e
2017,DE40F,MIO_EUR,2054.58,e
2017,DE40G,MIO_EUR,3688.52,e
2017,DE40H,MIO_EUR,6074.72,e
2017,DE40I,MIO_EUR,3657.49,e
2017,DE501,MIO_EUR,28471.28,e
2017,DE502,MIO_EUR,4092.36,e
2017,DE600,MIO_EUR,115490.77,e
2017,DE711,MIO_EUR,12217.07,e
2017,DE712,MIO_EUR,68895.4,e
2017,DE713,MIO_EUR,4625.96,e
2017,DE714,MIO_EUR,17915.36,e
2017,DE715,MIO_EUR,8043.77,e
2017,DE716,MIO_EUR,8247.26,e
2017,DE717,MIO_EUR,12121.12,e
2017,DE718,MIO_EUR,10854.45,e
2017,DE719,MIO_EUR,14097.12,e
2017,DE71A,MIO_EUR,12251.56,e
2017,DE71B,MIO_EUR,2556.57,e
2017,DE71C,MIO_EUR,15138.02,e
2017,DE71D,MIO_EUR,4638.05,e
2017,DE71E,MIO_EUR,8929.28,e
2017,DE721,MIO_EUR,9249.53,e
2017,DE722,MIO_EUR,8369.53,e
2017,DE723,MIO_EUR,5143.79,e
2017,DE724,MIO_EUR,8894.88,e
2017,DE725,MIO_EUR,2865.76,e
2017,DE731,MIO_EUR,10310.63,e
2017,DE732,MIO_EUR,8317.29,e
2017,DE733,MIO_EUR,4199.12,e
2017,DE734,MIO_EUR,7278.71,e
2017,DE735,MIO_EUR,5323.99,e
2017,DE736,MIO_EUR,5701.82,e
2017,DE737,MIO_EUR,2550.06,e
2017,DE803,MIO_EUR,7709.16,e
2017,DE804,MIO_EUR,3684.98,e
2017,DE80J,MIO_EUR,6984.24,e
2017,DE80K,MIO_EUR,5284.92,e
2017,DE80L,MIO_EUR,5352.14,e
2017,DE80M,MIO_EUR,3527.77,e
2017,DE80N,MIO_EUR,5787.42,e
2017,DE80O,MIO_EUR,5044.68,e
2017,DE911,MIO_EUR,12379.51,e
2017,DE912,MIO_EUR,5496.49,e
2017,DE913,MIO_EUR,20818.07,e
2017,DE914,MIO_EUR,3869.15,e
2017,DE916,MIO_EUR,4014.2,e
2017,DE917,MIO_EUR,1797.23,e
2017,DE918,MIO_EUR,3899.91,e
2017,DE91A,MIO_EUR,2800.66,e
2017,DE91B,MIO_EUR,2435.97,e
2017,DE91C,MIO_EUR,11472.41,e
